Field,Field Source,Available for Subsidiaries?,Description
Actual Physical Geographic Regions,JDE/ Sub ERP,Yes,The ACTUAL geographic region the order was shipped to. Could be a Drop Ship
Actual Ship To Address 1,JDE/ Sub ERP,Yes,The ACTUAL mailing address the order was shipped to. Could be a Drop Ship
Actual Ship To Address 2,JDE/ Sub ERP,Yes,The ACTUAL mailing address the order was shipped to. Could be a Drop Ship
Actual Ship To City,JDE/ Sub ERP,Yes,The ACTUAL city the order was shipped to. Could be a Drop Ship
Actual Ship To Country,JDE/ Sub ERP,Yes,The ACTUAL country the order was shipped to. Could be a Drop Ship
Actual Ship To Name,JDE/ Sub ERP,Yes,The overriden name for the ship to location the order ACTUALLY went to
Actual Ship To Postal Code,JDE/ Sub ERP,Yes,The ACTUAL postal code the order was shipped to. Could be a Drop Ship
Actual Ship To State,JDE/ Sub ERP,Yes,The ACTUAL state the order was shipped to. Could be a Drop Ship
Bill To Address 1,Oro,Yes,The mailing address for where the bill goes
Bill To Address 2,Oro,Yes,The mailing address for where the bill goes
Bill To Buying Group ID,Oro,No,The Buying Group the Parent is a part of. Used in pricing calculations
Bill To Buying Group Name,Oro,No,The Buying Group the Parent is a part of. Used in pricing calculations
Bill To City,Oro,Yes,The city for where the bill goes
Bill To Country ID,Oro,Yes,The country for where the bill goes
Bill To Country Name,Oro,Yes,The country for where the bill goes
Bill To Customer Type ID,Oro,No,The Customer Type grouping the Parent is a part of. Used in pricing calculations
Bill To Customer Type Name,Oro,No,The Customer Type grouping the Parent is a part of. Used in pricing calculations
Bill To Name,Oro,Yes,The name of where the bill goes
Bill to Number,JDE/ Sub ERP,Yes,The JDE/ Sub ERP number for this billing address
Bill To Postal Code,Oro,Yes,The postal code for where the bill goes
Bill to Region ID,Oro,No,The sales region for where the bill goes
Bill To Region Name,Oro,No,The sales region for where the bill goes
Bill To State ID,Oro,Yes,The state for where the bill goes
Bill To State Name,Oro,Yes,The state for where the bill goes
Branch,JDE/ Sub ERP,Yes,The distribution center/manufacturing facility that shipped the product
Buyer ID,JDE/ Sub ERP,No,The procurement associate who manages this item
Buyer Name,JDE/ Sub ERP,No,The procurement associate who manages this item
Committed,JDE/ Sub ERP,No,A flag to determine whether the line is committed or not. Only for open orders that haven't shipped yet
Container ID,JDE/ Sub ERP,No,The container ID that the product will be shipped on
CSR ID,Oro,No,The customer service rep who manages this account
CSR Name,Oro,No,The customer service rep who manages this account
Currency Source,JDE/ Sub ERP,Yes,The currency type of the transaction itself (Could be different that BU currency type)
Currency Target,JDE/ Sub ERP,Yes,The currency type for the full transaction in the datamart (will always be USD)
Customer PO Number,JDE/ Sub ERP,Yes,The PO number provided by the customer
Date Updated,JDE/ Sub ERP,No,The last date this line was updated in the system
Default Physical Geographic Regions,Only in Tableau,Yes,The DEFAULT geographic region the order was shipped to.
Ductless,Only in Tableau,No,A flag to designate items we deem as purely Ductless
External Sales Rep At Time of Invoice ID,Oro,No,The external sales rep that was assigned at the time of invoicing
External Sales Rep At Time of Invoice Name,Oro,No,The external sales rep that was assigned at the time of invoicing
External Sales Rep Current Used ID,Oro,No,The external sales rep that we would currently assign to that ship-to
External Sales Rep Current Used Name,Oro,No,The external sales rep that we would currently assign to that ship-to
FAUV Owner,Only in Tableau,No,A designation for which FAUV leader this account belongs with
Focus Product Category,Only in Tableau,No,A designation for which products are a part of our focus categories
Freight Handling ID,JDE/ Sub ERP,No,The handling ID for how the freight is typically managed
GL Date,JDE/ Sub ERP,Yes,The date of the transaction as it is posted into the general ledger
GL Offset,JDE/ Sub ERP,No,The accounting routing ID for the item. Determines where it shows up in our Income Statement
Global Customer Group Description,Oro,No,The highest level of the global customer grouping
Global Customer Group ID,Oro,No,The highest level of the global customer grouping
Global Customer Parent Type Description,Oro,Yes,"The commercial designation for the account…. National, Strategic, Core, or Alternative"
Global Customer Parent Type ID,Oro,Yes,"The commercial designation for the account…. National, Strategic, Core, or Alternative"
Global Customer Rollup Description,Oro,No,The middle level of the global customer grouping
Global Customer Rollup ID,Oro,No,The middle level of the global customer grouping
Global Customer Sales Channel Description,Oro,Yes,The sales channel for the account…. See example to the right
