BILL_CUSTOMER_SID,recency,frequency,monetary,rolling_freq,rolling_monetary,freq_trend,monetary_trend,cluster
132.0,108,1,7378.9,1.0,7378.9,,,1
133.0,104,3,354.3,3.0,354.3,,,1
134.0,101,106,461510.2343,106.0,461510.2343,,,0
137.0,100,60,644954.069,60.0,644954.069,,,0
140.0,100,151,116742.28,151.0,116742.28,,,1
142.0,106,1,55484.0,1.0,55484.0,,,1
143.0,100,343,2212589.5885,343.0,2212589.5885,,,3
147.0,105,23,235590.8712,23.0,235590.8712,,,1
151.0,97,2,305.8,2.0,305.8,,,1
154.0,98,14,7096.2,14.0,7096.2,,,1
169.0,104,3,897.28,3.0,897.28,,,1
207.0,107,7,5627.36,7.0,5627.36,,,1
208.0,97,13,3521.82,13.0,3521.82,,,1
214.0,98,51,182956.84,51.0,182956.84,,,1
234.0,99,46,17063.34,46.0,17063.34,,,1
236.0,97,169,98829.65,169.0,98829.65,,,0
238.0,110,1,-224.52,1.0,-224.52,,,1
240.0,97,26,9677.25,26.0,9677.25,,,1
249.0,97,454,152009.4,227.0,76004.70000000001,73.66666666666667,61.42366474321263,0
261.0,113,1,-71.86,1.0,-71.86,,,1
263.0,101,32,10427.21,32.0,10427.21,,,1
265.0,97,247,122650.13,247.0,122650.13,,,0
275.0,106,2,281.26,2.0,281.26,,,1
299.0,98,12,19321.75,12.0,19321.75,,,1
303.0,99,214,38362.29,214.0,38362.29,,,0
308.0,107,2,4653.04,2.0,4653.04,,,1
317.0,104,3,565.0,3.0,565.0,,,1
322.0,101,14,10241.26,14.0,10241.26,,,1
330.0,98,270,179823.02,270.0,179823.02,,,0
349.0,100,53,44385.09,53.0,44385.09,,,1
352.0,100,90,48011.78,90.0,48011.78,,,1
368.0,106,5,715.93,5.0,715.93,,,1
374.0,105,42,28648.89,42.0,28648.89,,,1
381.0,108,5,5611.51,5.0,5611.51,,,1
382.0,97,415,188563.08,415.0,188563.08,,,0
384.0,101,7,4351.39,7.0,4351.39,,,1
411.0,105,18,10808.619999999999,18.0,10808.619999999999,,,1
412.0,107,6,-203.33,6.0,-203.33,,,1
417.0,99,166,52662.93,166.0,52662.93,,,1
438.0,97,103,63805.86,103.0,63805.86,,,1
444.0,107,3,480.7,3.0,480.7,,,1
460.0,111,1,-71.02,1.0,-71.02,,,1
474.0,104,1,-76.72,1.0,-76.72,,,1
481.0,98,17,5934.18,17.0,5934.18,,,1
545.0,104,7,8055.68,7.0,8055.68,,,1
556.0,97,2,375.98,2.0,375.98,,,1
557.0,106,77,20607.75,77.0,20607.75,,,1
559.0,100,75,24573.69,75.0,24573.69,,,1
577.0,113,1,2149.0,1.0,2149.0,,,1
580.0,101,6,2426.5299999999997,6.0,2426.5299999999997,,,1
585.0,101,14,4856.86,14.0,4856.86,,,1
608.0,106,49,37844.88,49.0,37844.88,,,1
648.0,98,1,-111.84,1.0,-111.84,,,1
654.0,111,1,3240.0,1.0,3240.0,,,1
670.0,101,18,6135.59,18.0,6135.59,,,1
683.0,104,11,3739.21,11.0,3739.21,,,1
687.0,104,29,6621.76,29.0,6621.76,,,1
690.0,112,3,-618.69,3.0,-618.69,,,1
692.0,99,84,19782.19,84.0,19782.19,,,1
698.0,105,2,449.34999999999997,2.0,449.34999999999997,,,1
699.0,105,38,10880.84,38.0,10880.84,,,1
709.0,98,558,168435.01,279.0,84217.50499999999,556.0,3493.9528850145284,0
714.0,106,4,-2227.71,4.0,-2227.71,,,1
744.0,364,1,5.72,1.0,5.72,,,2
747.0,370,1,72.18,1.0,72.18,,,2
750.0,107,6,3260.96,6.0,3260.96,,,1
755.0,107,20,1985.93,20.0,1985.93,,,1
761.0,98,8,1080.07,8.0,1080.07,,,1
772.0,99,2,787.76,2.0,787.76,,,1
775.0,99,20,11879.029999999999,20.0,11879.029999999999,,,1
781.0,111,32,4254.45,32.0,4254.45,,,1
800.0,99,34,19152.95,34.0,19152.95,,,1
802.0,106,2,1596.02,1.0,798.01,0.0,-1.079509539299144,1
817.0,107,5,6250.68,5.0,6250.68,,,1
848.0,101,8,3988.5600000000004,8.0,3988.5600000000004,,,1
868.0,100,11,5237.52,11.0,5237.52,,,1
871.0,104,6,828.4399999999999,6.0,828.4399999999999,,,1
872.0,100,10,35666.1,10.0,35666.1,,,1
891.0,98,50,40343.5,50.0,40343.5,,,1
898.0,97,19,4704.15,19.0,4704.15,,,1
904.0,99,29,9949.97,29.0,9949.97,,,1
906.0,111,7,4963.48,7.0,4963.48,,,1
920.0,99,28,556.12,28.0,556.12,,,1
927.0,99,44,30319.989999999998,44.0,30319.989999999998,,,1
932.0,373,2,897.3299999999999,2.0,897.3299999999999,,,2
933.0,99,2,0.0,2.0,0.0,,,1
951.0,107,2,-926.59,2.0,-926.59,,,1
954.0,112,5,4265.49,2.5,2132.7450000000003,3.0,46.164972899729,1
956.0,112,1,-2.53,1.0,-2.53,,,1
980.0,99,4,1114.67,4.0,1114.67,,,1
994.0,97,128,92609.82,64.0,46304.91,126.0,1519.1862680683312,1
995.0,105,23,7593.91,11.5,3796.955,21.0,391.4668393782383,1
1003.0,98,24,17493.71,24.0,17493.71,,,1
1032.0,99,9,14031.9,9.0,14031.9,,,1
1037.0,108,110,13076.19,110.0,13076.19,,,1
1042.0,99,11,7085.23,11.0,7085.23,,,1
1043.0,108,13,46293.060000000005,13.0,46293.060000000005,,,1
1058.0,100,2,0.0,2.0,0.0,,,1
1065.0,99,40,11011.85,40.0,11011.85,,,1
1069.0,105,15,1840.44,15.0,1840.44,,,1
1081.0,107,6,-553.79,6.0,-553.79,,,1
1098.0,108,3,3787.5,3.0,3787.5,,,1
1123.0,99,15,5212.13,15.0,5212.13,,,1
1124.0,104,9,3515.21,9.0,3515.21,,,1
1137.0,106,8,4850.18,8.0,4850.18,,,1
1140.0,98,2,302.05,2.0,302.05,,,1
1141.0,105,24,3960.18,24.0,3960.18,,,1
1147.0,111,1,-68.03,1.0,-68.03,,,1
1154.0,98,33,9465.14,33.0,9465.14,,,1
1159.0,97,37,7898.85,37.0,7898.85,,,1
1181.0,107,4,3995.2,4.0,3995.2,,,1
1191.0,101,5,1674.8899999999999,5.0,1674.8899999999999,,,1
1302.0,108,13,5420.15,13.0,5420.15,,,1
1317.0,106,33,18901.36,33.0,18901.36,,,1
1324.0,105,5,9720.54,5.0,9720.54,,,1
1335.0,106,3,775.01,3.0,775.01,,,1
1339.0,97,9,4402.58,9.0,4402.58,,,1
1342.0,108,6,4052.08,6.0,4052.08,,,1
1357.0,104,26,8909.710000000001,26.0,8909.710000000001,,,1
1368.0,97,44,18630.82,44.0,18630.82,,,1
1373.0,106,4,4457.42,4.0,4457.42,,,1
1380.0,97,74,12779.99,74.0,12779.99,,,1
1390.0,105,11,7911.150000000001,11.0,7911.150000000001,,,1
1395.0,105,12,3666.09,12.0,3666.09,,,1
1398.0,111,28,5110.2,28.0,5110.2,,,1
1403.0,105,5,4481.360000000001,5.0,4481.360000000001,,,1
